Sample,dn01,dn02,dn03,dn04,dn05,dn06,dn07,dn08,dn09,dn10,dn11,dn12,dn13,dn14,Coop,Lead,O,C,E,A,N
dna632,1.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,,,,,,,
dna633,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,2.0,4.0,3.0,2.0,3.0,,,,,,,
dna635,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,,,,,,,
dna636,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,,
dna637,4.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,1.0,,,,,,,
dna638,2.0,4.0,3.0,5.0,3.0,2.0,4.0,3.0,5.0,2.0,5.0,4.0,2.0,3.0,,,,,,,
dna639,4.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,1.0,3.0,3.0,,,,,,,
dna640,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,,,,,,,
dna641,3.0,3.0,2.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,3.0,5.0,2.0,1.0,,,,,,,
dna642,4.0,2.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,,,,,,,
dna643,2.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,,,,,,,
dna644,4.0,2.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,2.0,5.0,5.0,,,,,,,
dna645,4.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,1.0,3.0,4.0,,,,,,,
dna646,3.0,1.0,5.0,3.0,4.0,1.0,3.0,5.0,5.0,3.0,3.0,1.0,4.0,3.0,,,,,,,
dna647,4.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,,,,,,,
dna648,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,,,,,,,
dna649,4.0,1.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,5.0,3.0,,,,,,,
dna650,3.0,1.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,,,,,,,
dna651,4.0,1.0,4.0,3.0,2.0,3.0,5.0,4.0,3.0,5.0,2.0,2.0,5.0,2.0,,,,,,,
dna652,3.0,2.0,3.0,5.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,5.0,3.0,2.0,,,,,,,
dna653,2.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,,,,,,,
dna654,2.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,,,,,,,
dna654,2.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,,,,,,,
dna655,4.0,2.0,4.0,5.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,,,,,,,
dna656,4.0,1.0,5.0,4.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,,,,,,,
dna657,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,,,,,,,
dna658,3.0,2.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,,,,,,
dna659,2.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,,,,,,,
dna660,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,,,,,,,
dna661,2.0,4.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,2.0,3.0,,,,,,,
dna662,4.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,,,,,,,
dna663,2.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,,,,,,,
dna664,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,,,,,,,
dna665,2.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,,,,,,,
dna666,1.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,2.0,2.0,,,,,,,
dna670,4.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,1.0,3.0,4.0,,,,,,,
dna672,2.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,5.0,2.0,3.0,4.0,,,,,,,
dna673,4.0,3.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,,,,,,,
dna674,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,,,,,,,
